round,kernel,language,implementation,elements,warmup,runs,total_ns,min_ns,median_ns,checksum
1,vector_add,rust,automatic,16777216,5,30,448403262,14108165,14836524,16760315880.000
1,vector_add,rust,explicit_simd,16777216,5,30,448035862,14076105,14920470,16760315880.000
1,vector_add,zig,explicit_simd,16777216,5,30,411040253,13270272,13599085,16760315880.000
1,vector_add,zig,scalar,16777216,5,30,477932029,15269162,16001639,16760315880.000
2,vector_add,rust,automatic,16777216,5,30,435814263,13486185,14091555,16760315880.000
2,vector_add,rust,explicit_simd,16777216,5,30,477075273,13988593,15126105,16760315880.000
2,vector_add,zig,explicit_simd,16777216,5,30,447365551,13905346,14505076,16760315880.000
2,vector_add,zig,scalar,16777216,5,30,606418238,18116505,20212436,16760315880.000
3,vector_add,rust,automatic,16777216,5,30,413627876,13291582,13657003,16760315880.000
3,vector_add,rust,explicit_simd,16777216,5,30,464323663,14099289,15200343,16760315880.000
3,vector_add,zig,explicit_simd,16777216,5,30,500025800,14455874,16621866,16760315880.000
3,vector_add,zig,scalar,16777216,5,30,552244296,15988503,18683372,16760315880.000
4,vector_add,rust,automatic,16777216,5,30,456439794,14241554,15020998,16760315880.000
4,vector_add,rust,explicit_simd,16777216,5,30,559202800,14156745,15732075,16760315880.000
4,vector_add,zig,explicit_simd,16777216,5,30,426245968,13479703,14159591,16760315880.000
4,vector_add,zig,scalar,16777216,5,30,466476005,14337883,15016139,16760315880.000
5,vector_add,rust,automatic,16777216,5,30,407088718,12743178,13566945,16760315880.000
5,vector_add,rust,explicit_simd,16777216,5,30,400523934,13053868,13294667,16760315880.000
5,vector_add,zig,explicit_simd,16777216,5,30,398046422,12846571,13109012,16760315880.000
5,vector_add,zig,scalar,16777216,5,30,443959501,13974316,14399729,16760315880.000
